id,taskId,userId,text,createdAt,updatedAt
33,1,1,Changed task status from TODO to QA TEST,2025-06-19T18:37:32.570Z,2025-06-19T18:37:32.570Z
34,3,1,Changed task status from TODO to QA TEST,2025-06-19T18:37:35.247Z,2025-06-19T18:37:35.247Z
35,1,1,Changed task status from QA TEST to TODO,2025-06-19T18:37:38.448Z,2025-06-19T18:37:38.448Z
36,2,1,Changed task status from IN PROGRESS to TODO,2025-06-19T18:37:39.359Z,2025-06-19T18:37:39.359Z
37,1,1,Changed task status from TODO to QA TEST,2025-06-19T18:37:40.215Z,2025-06-19T18:37:40.215Z
38,3,1,Changed task status from QA TEST to IN PROGRESS,2025-06-19T18:37:41.158Z,2025-06-19T18:37:41.158Z
39,1,1,Changed task status from QA TEST to DONE,2025-06-19T18:37:42.082Z,2025-06-19T18:37:42.082Z
40,2,1,Changed task status from TODO to QA TEST,2025-06-19T19:10:35.824Z,2025-06-19T19:10:35.824Z
41,1,1,Changed task status from DONE to TODO,2025-06-19T19:10:40.693Z,2025-06-19T19:10:40.693Z
42,2,1,Changed task status from QA TEST to READY FOR PROD,2025-06-19T19:10:42.547Z,2025-06-19T19:10:42.547Z
43,2,1,Changed task status from READY FOR PROD to QA TEST,2025-06-19T19:20:02.033Z,2025-06-19T19:20:02.033Z
44,2,1,Changed task status from QA TEST to TODO,2025-06-19T20:08:50.098Z,2025-06-19T20:08:50.098Z
45,1,1,Changed task status from TODO to READY FOR PROD,2025-06-19T20:08:51.457Z,2025-06-19T20:08:51.457Z
46,1,1,Changed task status from READY FOR PROD to QA TEST,2025-06-19T20:14:14.220Z,2025-06-19T20:14:14.220Z
47,2,1,Changed task status from TODO to READY FOR PROD,2025-06-19T20:26:41.337Z,2025-06-19T20:26:41.337Z
48,1,1,Changed task status from QA TEST to TODO,2025-06-19T20:26:42.558Z,2025-06-19T20:26:42.558Z
49,3,1,Changed task status from IN PROGRESS to QA TEST,2025-06-19T20:26:43.621Z,2025-06-19T20:26:43.621Z
50,1,1,Changed task status from TODO to IN PROGRESS,2025-06-20T11:00:49.998Z,2025-06-20T11:00:49.998Z
51,3,1,Changed task status from QA TEST to TODO,2025-06-20T11:00:50.859Z,2025-06-20T11:00:50.859Z
52,1,1,Changed task status from IN PROGRESS to TODO,2025-06-20T17:26:22.045Z,2025-06-20T17:26:22.045Z
53,1,1,Changed task status from TODO to IN PROGRESS,2025-06-20T17:26:25.248Z,2025-06-20T17:26:25.248Z
54,2,1,Changed task status from READY FOR PROD to TODO,2025-06-20T17:26:30.889Z,2025-06-20T17:26:30.889Z
55,1,1,Changed task status from IN PROGRESS to TODO,2025-06-20T17:26:32.352Z,2025-06-20T17:26:32.352Z
56,1,1,Changed task status from TODO to DONE,2025-06-20T17:26:33.951Z,2025-06-20T17:26:33.951Z
57,1,1,Changed task status from DONE to QA TEST,2025-06-20T17:26:35.291Z,2025-06-20T17:26:35.291Z
58,1,1,Changed task status from QA TEST to TODO,2025-06-20T17:26:37.129Z,2025-06-20T17:26:37.129Z
59,1,1,Changed task status from TODO to TODO,2025-06-20T17:26:42.019Z,2025-06-20T17:26:42.019Z
60,2,1,Changed task status from TODO to DONE,2025-06-20T17:32:26.744Z,2025-06-20T17:32:26.744Z
61,2,1,Changed task status from DONE to QA TEST,2025-06-20T17:32:35.838Z,2025-06-20T17:32:35.838Z
62,1,1,Changed task status from TODO to IN PROGRESS,2025-06-20T17:41:13.061Z,2025-06-20T17:41:13.061Z
63,24,1,Created task,2025-06-20T18:35:14.330Z,2025-06-20T18:35:14.330Z
64,3,1,Changed task status from TODO to IN PROGRESS,2025-06-20T18:43:19.109Z,2025-06-20T18:43:19.109Z
65,3,1,Changed task status from IN PROGRESS to IN PROGRESS,2025-06-20T18:43:20.182Z,2025-06-20T18:43:20.182Z
66,3,1,Changed task status from IN PROGRESS to QA TEST,2025-06-20T18:43:21.117Z,2025-06-20T18:43:21.117Z
67,2,1,Changed task status from QA TEST to TODO,2025-06-20T18:43:22.655Z,2025-06-20T18:43:22.655Z
68,1,1,Changed task status from IN PROGRESS to TODO,2025-06-20T18:43:24.048Z,2025-06-20T18:43:24.048Z
69,2,1,Changed task status from TODO to QA TEST,2025-06-20T18:43:25.605Z,2025-06-20T18:43:25.605Z
70,2,1,Changed task status from QA TEST to READY FOR PROD,2025-06-20T18:43:53.399Z,2025-06-20T18:43:53.399Z
71,3,1,Changed task status from QA TEST to IN PROGRESS,2025-06-20T18:44:01.280Z,2025-06-20T18:44:01.280Z
72,1,1,Changed task status from TODO to QA TEST,2025-06-20T18:44:03.448Z,2025-06-20T18:44:03.448Z
73,2,1,Changed task status from READY FOR PROD to TODO,2025-06-20T18:44:05.423Z,2025-06-20T18:44:05.423Z
74,1,1,Changed task status from QA TEST to TODO,2025-06-20T18:44:07.951Z,2025-06-20T18:44:07.951Z
75,3,1,Changed task status from IN PROGRESS to TODO,2025-06-20T18:44:08.935Z,2025-06-20T18:44:08.935Z
76,2,1,Changed task status from TODO to IN PROGRESS,2025-06-20T18:44:26.803Z,2025-06-20T18:44:26.803Z
77,3,1,Changed task status from TODO to QA TEST,2025-06-20T18:44:28.912Z,2025-06-20T18:44:28.912Z
78,24,1,Changed task status from 2 to 1,2025-06-20T18:46:08.828Z,2025-06-20T18:46:08.828Z
79,24,1,Changed task status from Column Name to Tab order testing ,2025-06-20T18:48:07.203Z,2025-06-20T18:48:07.203Z
80,24,1,Changed task status from Tab order testing  to the column types make no sense ,2025-06-20T18:48:08.335Z,2025-06-20T18:48:08.335Z
81,2,1,Changed task status from IN PROGRESS to TODO,2025-06-20T20:02:35.017Z,2025-06-20T20:02:35.017Z
82,1,1,Changed task status from TODO to IN PROGRESS,2025-06-21T05:29:45.420Z,2025-06-21T05:29:45.420Z
83,1,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-21T05:29:47.858Z,2025-06-21T05:29:47.858Z
84,3,1,Changed task status from QA TEST to IN PROGRESS,2025-06-21T05:29:49.153Z,2025-06-21T05:29:49.153Z
85,25,1,Created task,2025-06-21T05:31:43.015Z,2025-06-21T05:31:43.015Z
86,3,1,Changed task status from IN PROGRESS to TODO,2025-06-21T07:27:21.630Z,2025-06-21T07:27:21.630Z
87,2,1,Changed task status from TODO to IN PROGRESS,2025-06-21T07:27:22.861Z,2025-06-21T07:27:22.861Z
88,3,1,Updated task name,2025-06-21T07:27:36.942Z,2025-06-21T07:27:36.942Z
89,26,1,Created task,2025-06-21T07:28:33.487Z,2025-06-21T07:28:33.487Z
90,2,1,Changed task status from IN PROGRESS to TODO,2025-06-21T07:28:43.247Z,2025-06-21T07:28:43.247Z
91,3,1,Changed task status from TODO to IN PROGRESS,2025-06-21T07:28:43.991Z,2025-06-21T07:28:43.991Z
92,3,1,Changed task status from IN PROGRESS to TODO,2025-06-21T07:28:45.925Z,2025-06-21T07:28:45.925Z
93,3,1,Updated task name,2025-06-21T07:29:10.517Z,2025-06-21T07:29:10.517Z
94,3,1,Changed task status from TODO to IN PROGRESS,2025-06-21T07:32:42.526Z,2025-06-21T07:32:42.526Z
95,28,1,Created task,2025-06-21T08:40:45.062Z,2025-06-21T08:40:45.062Z
96,28,1,Changed task status from Column Name to Tab order testing ,2025-06-21T08:40:47.541Z,2025-06-21T08:40:47.541Z
97,28,1,Changed task status from Tab order testing  to the column types make no sense ,2025-06-21T08:40:48.645Z,2025-06-21T08:40:48.645Z
98,24,1,Changed task status from the column types make no sense  to Column Name,2025-06-21T08:40:54.217Z,2025-06-21T08:40:54.217Z
99,28,1,Changed task status from the column types make no sense  to Tab order testing ,2025-06-21T08:40:55.505Z,2025-06-21T08:40:55.505Z
100,28,1,Changed task status from Tab order testing  to the column types make no sense ,2025-06-21T10:16:15.293Z,2025-06-21T10:16:15.293Z
101,30,5,Created task,2025-06-21T13:49:38.285Z,2025-06-21T13:49:38.285Z
102,31,5,Created task,2025-06-21T13:53:11.704Z,2025-06-21T13:53:11.704Z
103,32,5,Created task,2025-06-21T13:53:35.350Z,2025-06-21T13:53:35.350Z
104,33,5,Created task,2025-06-21T13:56:46.595Z,2025-06-21T13:56:46.595Z
105,33,5,Updated task status,2025-06-21T13:57:03.290Z,2025-06-21T13:57:03.290Z
106,33,5,Changed task status from col 1 to col 3,2025-06-21T13:58:06.006Z,2025-06-21T13:58:06.006Z
107,33,5,Changed task status from col 3 to col 2,2025-06-21T13:58:07.026Z,2025-06-21T13:58:07.026Z
108,33,5,Changed task status from col 2 to col 3,2025-06-21T14:04:23.253Z,2025-06-21T14:04:23.253Z
109,33,5,Changed task status from col 3 to col 1,2025-06-21T14:04:24.758Z,2025-06-21T14:04:24.758Z
110,26,1,Changed task status from READY FOR PROD to QA TEST,2025-06-21T14:18:37.289Z,2025-06-21T14:18:37.289Z
111,1,1,Changed task status from READY FOR PROD to IN PROGRESS,2025-06-21T14:18:38.709Z,2025-06-21T14:18:38.709Z
112,2,1,Changed task status from TODO to READY FOR PROD,2025-06-21T14:18:40.301Z,2025-06-21T14:18:40.301Z
113,1,1,Changed task status from IN PROGRESS to TODO,2025-06-21T14:18:42.076Z,2025-06-21T14:18:42.076Z
114,24,1,Changed task status from Column Name to Tab order testing ,2025-06-21T14:19:25.542Z,2025-06-21T14:19:25.542Z
115,28,1,Changed task status from the column types make no sense  to Column Name,2025-06-21T14:19:26.831Z,2025-06-21T14:19:26.831Z
116,24,1,Changed task status from Tab order testing  to the column types make no sense ,2025-06-21T14:19:28.220Z,2025-06-21T14:19:28.220Z
117,3,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-21T15:31:37.524Z,2025-06-21T15:31:37.524Z
118,2,1,Changed task status from READY FOR PROD to QA TEST,2025-06-21T15:31:39.161Z,2025-06-21T15:31:39.161Z
119,26,1,Changed task status from QA TEST to IN PROGRESS,2025-06-21T15:31:41.610Z,2025-06-21T15:31:41.610Z
120,1,1,Changed task status from TODO to IN PROGRESS,2025-06-21T15:31:42.754Z,2025-06-21T15:31:42.754Z
121,4,1,Updated task status,2025-06-21T15:32:24.976Z,2025-06-21T15:32:24.976Z
122,10,1,Updated task ,2025-06-21T15:32:30.700Z,2025-06-21T15:32:30.700Z
123,10,1,Updated task status,2025-06-21T15:32:36.460Z,2025-06-21T15:32:36.460Z
124,1,1,Changed task status from IN PROGRESS to QA TEST,2025-06-21T15:35:13.689Z,2025-06-21T15:35:13.689Z
125,4,1,Updated task assignee,2025-06-21T15:35:22.589Z,2025-06-21T15:35:22.589Z
126,3,1,Updated task assignee,2025-06-21T15:35:31.666Z,2025-06-21T15:35:31.666Z
127,3,1,Changed task status from READY FOR PROD to TODO,2025-06-21T15:35:34.808Z,2025-06-21T15:35:34.808Z
128,1,1,Changed task status from QA TEST to READY FOR PROD,2025-06-21T15:36:21.290Z,2025-06-21T15:36:21.290Z
129,3,1,Changed task status from TODO to QA TEST,2025-06-21T15:56:51.778Z,2025-06-21T15:56:51.778Z
130,10,1,Changed task status from IN PROGRESS to TODO,2025-06-21T15:56:53.121Z,2025-06-21T15:56:53.121Z
131,35,1,Created task,2025-06-21T16:15:16.564Z,2025-06-21T16:15:16.564Z
132,36,1,Created task,2025-06-21T16:15:30.798Z,2025-06-21T16:15:30.798Z
133,35,1,Updated task status,2025-06-21T16:16:06.361Z,2025-06-21T16:16:06.361Z
134,36,1,Updated task status,2025-06-21T16:16:14.278Z,2025-06-21T16:16:14.278Z
135,36,1,Changed task status from col 1 to col 2,2025-06-21T16:16:23.664Z,2025-06-21T16:16:23.664Z
136,35,1,Changed task status from col 1 to col 3 ,2025-06-21T16:16:24.946Z,2025-06-21T16:16:24.946Z
137,36,1,Changed task status from col 2 to col 4,2025-06-21T16:16:26.229Z,2025-06-21T16:16:26.229Z
138,35,1,Changed task status from col 3  to col 4,2025-06-21T16:16:27.404Z,2025-06-21T16:16:27.404Z
139,36,1,Changed task status from col 4 to col 1,2025-06-21T16:16:28.510Z,2025-06-21T16:16:28.510Z
140,35,1,Changed task status from col 4 to col 1,2025-06-21T16:16:30.905Z,2025-06-21T16:16:30.905Z
141,4,1,Changed task status from TODO to QA TEST,2025-06-21T16:17:07.985Z,2025-06-21T16:17:07.985Z
142,1,1,Changed task status from READY FOR PROD to IN PROGRESS,2025-06-21T16:17:09.092Z,2025-06-21T16:17:09.092Z
143,11,1,Updated task status,2025-06-21T16:17:19.258Z,2025-06-21T16:17:19.258Z
144,17,1,Updated task ,2025-06-21T16:17:29.733Z,2025-06-21T16:17:29.733Z
145,17,1,Updated task ,2025-06-21T16:17:32.160Z,2025-06-21T16:17:32.160Z
146,17,1,Updated task status,2025-06-21T16:17:36.355Z,2025-06-21T16:17:36.355Z
147,17,1,Changed task status from TODO to IN PROGRESS,2025-06-21T16:17:45.002Z,2025-06-21T16:17:45.002Z
148,4,1,Changed task status from QA TEST to TODO,2025-06-21T16:17:46.202Z,2025-06-21T16:17:46.202Z
149,3,1,Changed task status from QA TEST to READY FOR PROD,2025-06-21T16:17:50.106Z,2025-06-21T16:17:50.106Z
150,10,1,Changed task status from TODO to QA TEST,2025-06-21T16:46:45.952Z,2025-06-21T16:46:45.952Z
151,3,1,Changed task status from READY FOR PROD to IN PROGRESS,2025-06-21T16:46:55.905Z,2025-06-21T16:46:55.905Z
152,28,1,Changed task status from Column Name to Tab order testing ,2025-06-21T17:31:18.339Z,2025-06-21T17:31:18.339Z
153,24,1,Changed task status from the column types make no sense  to Column Name,2025-06-21T17:31:19.732Z,2025-06-21T17:31:19.732Z
154,28,1,Changed task status from Tab order testing  to the column types make no sense ,2025-06-21T17:31:20.817Z,2025-06-21T17:31:20.817Z
155,4,1,Changed task status from TODO to QA TEST,2025-06-21T17:31:31.441Z,2025-06-21T17:31:31.441Z
156,3,1,Changed task status from IN PROGRESS to TODO,2025-06-21T17:31:32.714Z,2025-06-21T17:31:32.714Z
157,28,1,Changed task status from the column types make no sense  to Tab order testing ,2025-06-21T18:25:37.860Z,2025-06-21T18:25:37.860Z
158,24,1,Changed task status from Column Name to the column types make no sense ,2025-06-21T18:25:39.597Z,2025-06-21T18:25:39.597Z
159,26,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-21T20:04:51.457Z,2025-06-21T20:04:51.457Z
160,10,1,Changed task status from QA TEST to READY FOR PROD,2025-06-21T20:04:52.934Z,2025-06-21T20:04:52.934Z
161,11,1,Changed task status from TODO to IN PROGRESS,2025-06-22T04:41:28.184Z,2025-06-22T04:41:28.184Z
162,4,1,Changed task status from QA TEST to IN PROGRESS,2025-06-22T04:41:29.352Z,2025-06-22T04:41:29.352Z
163,10,1,Changed task status from READY FOR PROD to IN PROGRESS,2025-06-22T04:41:30.765Z,2025-06-22T04:41:30.765Z
164,3,1,Changed task status from TODO to QA TEST,2025-06-22T04:41:32.379Z,2025-06-22T04:41:32.379Z
165,26,1,Changed task status from READY FOR PROD to TODO,2025-06-22T04:41:33.516Z,2025-06-22T04:41:33.516Z
166,17,1,Changed task status from IN PROGRESS to TODO,2025-06-22T05:20:11.008Z,2025-06-22T05:20:11.008Z
167,4,1,Changed task status from IN PROGRESS to QA TEST,2025-06-22T05:20:12.024Z,2025-06-22T05:20:12.024Z
168,3,1,Changed task status from QA TEST to READY FOR PROD,2025-06-22T05:20:12.884Z,2025-06-22T05:20:12.884Z
169,2,1,Changed task status from QA TEST to DONE,2025-06-22T05:20:14.213Z,2025-06-22T05:20:14.213Z
170,11,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-22T05:20:19.027Z,2025-06-22T05:20:19.027Z
171,17,1,Moved task to a new column,2025-06-22T17:57:42.137Z,2025-06-22T17:57:42.137Z
172,4,1,Moved task to a new column,2025-06-22T17:57:43.464Z,2025-06-22T17:57:43.464Z
173,1,1,Moved task to a new column,2025-06-22T17:57:45.661Z,2025-06-22T17:57:45.661Z
174,1,1,Moved task to a new column,2025-06-22T18:05:18.953Z,2025-06-22T18:05:18.953Z
175,26,1,Moved task to a new column,2025-06-22T18:05:27.655Z,2025-06-22T18:05:27.655Z
176,1,1,Moved task to a new column,2025-06-22T18:10:40.700Z,2025-06-22T18:10:40.700Z
177,4,1,Moved task to a new column,2025-06-22T18:10:42.227Z,2025-06-22T18:10:42.227Z
178,11,1,Moved task to a new column,2025-06-22T18:48:02.212Z,2025-06-22T18:48:02.212Z
179,26,1,Moved task to a new column,2025-06-22T18:48:06.047Z,2025-06-22T18:48:06.047Z
180,11,1,Moved task to a new column,2025-06-22T18:48:08.934Z,2025-06-22T18:48:08.934Z
181,1,1,Moved task to a new column,2025-06-22T18:48:10.214Z,2025-06-22T18:48:10.214Z
182,3,1,Moved task to a new column,2025-06-22T18:48:14.308Z,2025-06-22T18:48:14.308Z
183,4,1,Moved task to a new column,2025-06-22T18:53:22.218Z,2025-06-22T18:53:22.218Z
184,17,1,Moved task to a new column,2025-06-22T18:53:24.537Z,2025-06-22T18:53:24.537Z
185,1,1,Moved task to a new column,2025-06-22T18:56:01.904Z,2025-06-22T18:56:01.904Z
186,17,1,Moved task to a new column,2025-06-22T18:56:03.371Z,2025-06-22T18:56:03.371Z
187,17,1,Moved task to a new column,2025-06-22T19:01:37.035Z,2025-06-22T19:01:37.035Z
188,1,1,Moved task to a new column,2025-06-22T19:01:37.801Z,2025-06-22T19:01:37.801Z
189,10,1,Moved task to a new column,2025-06-22T19:01:38.920Z,2025-06-22T19:01:38.920Z
190,17,1,Moved task to a new column,2025-06-22T19:30:19.037Z,2025-06-22T19:30:19.037Z
191,26,1,Moved task to a new column,2025-06-22T19:30:20.171Z,2025-06-22T19:30:20.171Z
192,10,1,Moved task to a new column,2025-06-22T19:30:21.194Z,2025-06-22T19:30:21.194Z
193,17,1,Moved task to a new column,2025-06-22T19:30:22.870Z,2025-06-22T19:30:22.870Z
194,1,1,Moved task to a new column,2025-06-22T19:30:24.659Z,2025-06-22T19:30:24.659Z
195,11,1,Moved task to a new column,2025-06-22T19:58:51.347Z,2025-06-22T19:58:51.347Z
196,3,1,Moved task to a new column,2025-06-22T19:58:52.576Z,2025-06-22T19:58:52.576Z
197,10,1,Moved task to a new column,2025-06-22T19:58:57.543Z,2025-06-22T19:58:57.543Z
198,26,1,Moved task to a new column,2025-06-22T19:58:58.720Z,2025-06-22T19:58:58.720Z
199,4,1,Moved task to a new column,2025-06-22T19:59:13.874Z,2025-06-22T19:59:13.874Z
200,4,1,Moved task to a new column,2025-06-22T19:59:17.879Z,2025-06-22T19:59:17.879Z
201,4,1,Moved task to a new column,2025-06-22T19:59:19.231Z,2025-06-22T19:59:19.231Z
202,26,1,Moved task to a new column,2025-06-22T19:59:22.126Z,2025-06-22T19:59:22.126Z
203,10,1,Moved task to a new column,2025-06-22T19:59:23.493Z,2025-06-22T19:59:23.493Z
204,2,1,Moved task to a new column,2025-06-23T16:53:53.224Z,2025-06-23T16:53:53.224Z
205,20,1,Updated task status,2025-06-23T19:47:28.772Z,2025-06-23T19:47:28.772Z
206,18,1,Updated task status,2025-06-23T19:47:38.318Z,2025-06-23T19:47:38.318Z
207,13,1,Updated task status,2025-06-23T19:47:49.196Z,2025-06-23T19:47:49.196Z
208,20,1,Moved task to a new column,2025-06-23T19:50:31.020Z,2025-06-23T19:50:31.020Z
209,26,1,Moved task to a new column,2025-06-23T19:50:32.471Z,2025-06-23T19:50:32.471Z
210,2,1,Moved task to a new column,2025-06-23T19:50:34.828Z,2025-06-23T19:50:34.828Z
211,18,1,Moved task to a new column,2025-06-23T19:50:36.075Z,2025-06-23T19:50:36.075Z
212,10,1,Moved task to a new column,2025-06-23T19:50:39.336Z,2025-06-23T19:50:39.336Z
213,4,1,Moved task to a new column,2025-06-23T19:50:40.543Z,2025-06-23T19:50:40.543Z
214,3,1,Moved task to a new column,2025-06-23T19:50:42.594Z,2025-06-23T19:50:42.594Z
215,26,1,Moved task to a new column,2025-06-23T19:50:43.913Z,2025-06-23T19:50:43.913Z
216,3,1,Moved task to a new column,2025-06-23T19:50:46.531Z,2025-06-23T19:50:46.531Z
217,10,1,Moved task to a new column,2025-06-23T19:50:49.601Z,2025-06-23T19:50:49.601Z
218,26,1,Moved task to a new column,2025-06-23T19:50:50.822Z,2025-06-23T19:50:50.822Z
219,13,1,Moved task to a new column,2025-06-23T19:50:52.825Z,2025-06-23T19:50:52.825Z
220,3,1,Moved task to a new column,2025-06-23T19:51:22.574Z,2025-06-23T19:51:22.574Z
221,18,1,Moved task to a new column,2025-06-23T19:51:24.587Z,2025-06-23T19:51:24.587Z
222,18,1,Moved task to a new column,2025-06-23T19:51:37.504Z,2025-06-23T19:51:37.504Z
223,26,1,Moved task to a new column,2025-06-23T19:51:45.878Z,2025-06-23T19:51:45.878Z
224,20,1,Moved task to a new column,2025-06-23T20:07:43.562Z,2025-06-23T20:07:43.562Z
225,11,1,Moved task to a new column,2025-06-23T20:07:50.316Z,2025-06-23T20:07:50.316Z
226,18,1,Moved task to a new column,2025-06-23T20:07:51.951Z,2025-06-23T20:07:51.951Z
227,10,1,Moved task to a new column,2025-06-23T20:07:53.920Z,2025-06-23T20:07:53.920Z
228,18,1,Moved task to a new column,2025-06-23T20:07:55.537Z,2025-06-23T20:07:55.537Z
229,11,1,Moved task to a new column,2025-06-23T20:07:57.412Z,2025-06-23T20:07:57.412Z
230,4,1,Moved task to a new column,2025-06-23T20:08:12.303Z,2025-06-23T20:08:12.303Z
231,4,1,Moved task to a new column,2025-06-23T20:08:33.945Z,2025-06-23T20:08:33.945Z
232,1,1,Moved task to a new column,2025-06-23T20:08:36.198Z,2025-06-23T20:08:36.198Z
233,3,1,Moved task to a new column,2025-06-23T20:08:38.719Z,2025-06-23T20:08:38.719Z
234,13,1,Moved task to a new column,2025-06-23T20:09:47.528Z,2025-06-23T20:09:47.528Z
235,17,1,Moved task to a new column,2025-06-23T20:09:51.531Z,2025-06-23T20:09:51.531Z
236,26,1,Moved task to a new column,2025-06-23T20:09:53.924Z,2025-06-23T20:09:53.924Z
237,11,1,Moved task to a new column,2025-06-23T20:09:56.342Z,2025-06-23T20:09:56.342Z
238,18,1,Moved task to a new column,2025-06-23T20:09:58.463Z,2025-06-23T20:09:58.463Z
239,20,1,Moved task to a new column,2025-06-23T20:10:35.109Z,2025-06-23T20:10:35.109Z
240,26,1,Moved task to a new column,2025-06-23T20:10:39.697Z,2025-06-23T20:10:39.697Z
241,1,1,Moved task to a new column,2025-06-23T20:10:55.813Z,2025-06-23T20:10:55.813Z
242,3,1,Moved task to a new column,2025-06-23T20:12:02.488Z,2025-06-23T20:12:02.488Z
243,10,1,Moved task to a new column,2025-06-23T20:12:09.396Z,2025-06-23T20:12:09.396Z
244,1,1,Moved task to a new column,2025-06-23T20:12:13.951Z,2025-06-23T20:12:13.951Z
245,17,1,Moved task to a new column,2025-06-23T20:12:20.676Z,2025-06-23T20:12:20.676Z
246,18,1,Moved task to a new column,2025-06-23T20:12:25.447Z,2025-06-23T20:12:25.447Z
247,11,1,Moved task to a new column,2025-06-23T20:12:28.175Z,2025-06-23T20:12:28.175Z
248,4,1,Moved task to a new column,2025-06-23T20:12:47.982Z,2025-06-23T20:12:47.982Z
249,11,1,Moved task to a new column,2025-06-23T20:12:50.984Z,2025-06-23T20:12:50.984Z
250,1,1,Moved task to a new column,2025-06-23T20:12:54.079Z,2025-06-23T20:12:54.079Z
251,10,1,Moved task to a new column,2025-06-23T20:12:56.590Z,2025-06-23T20:12:56.590Z
252,17,1,Moved task to a new column,2025-06-23T20:12:59.297Z,2025-06-23T20:12:59.297Z
253,3,1,Moved task to a new column,2025-06-23T20:13:01.752Z,2025-06-23T20:13:01.752Z
254,18,1,Moved task to a new column,2025-06-23T20:13:05.529Z,2025-06-23T20:13:05.529Z
255,10,1,Moved task to a new column,2025-06-23T20:15:48.229Z,2025-06-23T20:15:48.229Z
256,4,1,Moved task to a new column,2025-06-23T20:15:52.071Z,2025-06-23T20:15:52.071Z
257,1,1,Moved task to a new column,2025-06-23T20:15:56.927Z,2025-06-23T20:15:56.927Z
258,17,1,Moved task to a new column,2025-06-23T20:15:59.539Z,2025-06-23T20:15:59.539Z
